category,difficulty,word_1,word_2,word_3,word_4
DOMESTIC PETS,1,DOG,CAT,HAMSTER,GOLDFISH
TYPES OF FRUIT,2,APPLE,BANANA,GRAPE,ORANGE
THINGS YOU SIT ON,3,CHAIR,SOFA,BENCH,STOOL
_ _ _ _ BALL,4,BASE,BASKET,FOOT,BEACH
BASIC SHAPES,1,CIRCLE,SQUARE,TRIANGLE,STAR
PLAYGROUND EQUIPMENT,2,SLIDE,SWING,SEESAW,SANDBOX
GABBY CATS,3,PANDY,MERCAT,CATRAT,CAKEY
RHYMES WITH "LOG",4,FROG,DOG,FOG,JOG
EATING UTENSILS,1,FORK,SPOON,KNIFE,SPORK
BUGS AND INSECTS,2,ANT,BEE,BUTTERFLY,BEETLE
HARRY POTTER HOUSES,3,GRYFFINDOR,SLYTHERIN,RAVENCLAW,HUFFLEPUFF
_ _ _ _ BEAR,4,TEDDY,POLAR,PANDA,GUMMY
PRIMARY COLORS,1,RED,BLUE,YELLOW,GREEN
MUSICAL INSTRUMENTS,2,PIANO,GUITAR,DRUM,FLUTE
THINGS WITH WHEELS,3,CAR,BICYCLE,BUS,SKATEBOARD
WORDS THAT SOUND LIKE LETTERS,4,EYE,TEA,SEA,BEE
